City,Livability_Score
Siliguri,146.67314796485002
Bhubaneswar,146.26672349079
Cuttack,145.55619973668
Berhampur,144.84349826631004
Vijayanagaram,144.41310589226
Gopalpur,143.79942231329002
Sambalpur,143.38618952075
Bardhaman,142.42481194073002
South Dumdum,141.71283575392002
Kolkata,141.05806752066002
Mancherial,140.92399932765
Kamarhati,140.91242866776003
Panihati,140.20700372008997
Hugli,139.09739847163002
Maheshtala,138.88488494743
Rayagada,138.70754141829002
Bhatpara,138.63257972527
Naihati,138.31987761843
Rajnandgaon,137.9591426191
Bilaspur,137.83016195770003
Warangal,137.74360711998003
Kakinada,137.62411971645
Bhilai,137.06175388191
Raipur,136.55648074083
Visakhapatnam,136.53943038642
Howrah,136.34078086616003
Purnia,135.05455598628
Karimnagar,133.71811484919002
Korba,133.46135526099002
Darbhanga,133.16820919453
Jamshedpur,133.13161026719
Durgapur,132.91107842222
Nagpur,132.60484427172
Guwahati,132.26946302229
Rajahmundry,132.20710646355
Asansol,131.21973688615
Hyderabad,131.14068860837
Bhagalpur,130.30134366121
Nizamabad,130.06130447617997
Dhanbad,129.57494115428
Bettiah,129.00183733873
Munger,128.51762467729
Kochi,128.15911044793
Patna,128.11050087392002
Muzaffarpur,127.85042726564002
Vijayawada,127.3308726565
Lucknow,127.06319956738
Guntur,126.65529038164001
Bokaro,126.22680548056002
Amravati,126.11038604907999
Raichur,125.80978978785002
Akola,124.78440913671
Shahjahanpur,124.63489238407
Kozhikode,124.58458541171001
Nanded,124.57211313534
Allahabad,124.23589106984002
Sitapur,123.67949453637999
Varanasi,123.49863987429002
Parbhani,123.45330128103001
Kadapa,123.27699820082003
Singrauli,123.20272497323
Kurnool,122.84667290834
Gaya,122.64741990161
Ambikapur,122.40624982551999
Bulandshahr,122.22940892745999
Farrukhabad,122.16379925724
Bidar,121.95168670044002
Burhanpur,121.87184542083
Loni,121.85446098344
Agra,121.8153143145
Erode,121.80741958228
Moradabad,121.66475893369
Delhi,121.56540919540001
Ghaziabad,121.50905495897
Bikaner,121.46652755528
Noida,121.29860293774
Gulbarga,121.213858657
Faridabad,121.12315189161001
Coimbatore,121.11758139304001
Bareilly,121.00023554797
Giridih,120.80911122487001
Nellore,120.56259286442997
Tiruppur,120.27913932864999
Rampur,120.17588564361003
Solapur,120.14417798573001
Firozabad,120.14158633243
Arrah,120.10440671725999
Latur,119.64023647973
Hapur,119.49332309045
Mathura,119.46564841290001
Jabalpur,119.42771360159
Kanchipuram,119.37708200856999
Bellary,119.29969586257
Kanpur,119.23527097344002
Madurai,119.22965419776999
Chennai,118.98082480919
Salem,118.59420122001
Tirupati,118.59259078934
Ozhukarai,118.52577499686
Ranchi,118.4882788625
Alappuzha,118.41270605397001
Mangalore,118.23668966309002
Mumbai,117.92500934124
Agartala,117.91766131460001
Kolhapur,117.81703318812002
Puducherry,117.67139904377001
Aligarh,117.55406228951001
Meerut,117.30491987099002
Malappuram,117.29106628051001
Gandhinagar,117.22667260083001
Hubli-Dharwad,117.13116060685999
Hanumangarh,117.00422281457001
Ludhiana,116.92099289021
Ichalkaranji,116.83228461705
Pune,116.69211339691002
Vadodara,116.63616351079
Mandya,116.56393014532
Shivamogga,116.54633955401
Jalandhar,116.47626288267001
Sangli,116.45034093945
Surat,116.44976512308001
Bangalore,116.43327507348
Muzaffarnagar,116.42646543379001
Jaipur,116.39549419270999
Ahmedabad,116.22787961498
Davanagere,116.19769084523001
Gurgaon,116.09188456917002
Jhansi,116.05970159954997
Pimpri-Chinchwad,116.04781396740998
Jalgaon,115.89236519127
Ambattur,115.87578951581001
Gwalior,115.86865902845999
Patiala,115.7932911333
Thanjavur,115.65498341615
Roorkee,115.6180545474
Navi Mumbai,115.5903836001
Kalyan-Dombivli,115.41007386411
Palakkad,115.39495139224003
Dhule,115.28150432721
Thane,115.25423769952
Mysore,115.14570967228002
Amritsar,115.10219401269
Jalna,115.04411933674
Viluppuram,114.97872880959001
Bharatpur,114.96730664229
Navsari,114.83811726678
Avadi,114.81864469174002
Saharanpur,114.64036125410003
Dehradun,114.56122213076
Thrissur,114.54094561247999
Tumkur,114.47192179394999
Bhiwani,114.3790924592
Ulhasnagar,114.34390448562999
Anand,114.26658796320001
Chandigarh,114.25570297069001
Indore,114.03078249663001
Bhopal,113.81811496090998
Vellore,113.77324125338998
Rohtak,113.62653697363001
Hosur,113.57369221117999
Bijapur,113.47558613733
Aurangabad,113.35789601119001
Sikar,113.33889887193003
Panipat,113.2988080905
Karnal,113.28271656815002
Guna,113.22283236004999
Kollam,113.04520702983999
Mira-Bhayandar,112.99630169272
Vasai-Virar,112.98609161294002
Tirunelveli,112.80762835302
Tiruchirappalli,112.47894828918
Kota,112.16556732616002
Hisar,112.12317310990001
Bhiwandi,112.01692654174002
Ahmednagar,112.00682709128999
Bhilwara,111.98399581506001
Ujjain,111.84117929056
Jodhpur,111.69974847529001
Tiruvottiyur,111.31183960848001
Belgaum,111.14113075685998
Shivpuri,111.13622551972
Nashik,111.10507507778001
Anantapur,110.38082527674999
Satara,110.04673305583
Bhavnagar,109.93645117749001
Malegaon,109.62224851806
Ratlam,109.08516018084002
Ajmer,108.90373768075001
Jamnagar,107.96082860755001
Amreli,107.40642190363998
Rajkot,107.25578106438
Udaipur,106.92788103676
Jammu,106.65973028409
Pali,104.49650552492
Dibrugarh,101.47425235069998
Shimla,100.03642261826
Srinagar,97.05389425937001
Aizawl,96.57926095597001
